BOND TYPE                ATOMS                    R                        TS                       P                        TS-R                     % CHANGE                 P-TS                     % CHANGE                 
RY*                      O[3]                     2.42003                  -0.64742                 1.48445                  -0.42388                 -17.5154853452           -0.5117                  -25.6343461163           
RY*                      O[4]                     2.15991                  -0.64742                 0.82187                  -0.16376                 -7.58179738971           -1.17428                 -58.8272424417           
RY*                      O[4]                     1.17112                  -0.64742                 1.39981                  0.82503                  70.4479472642            -0.59634                 -29.8745084287           
RY*                      O[4]                     1.38597                  -0.64742                 1.89263                  0.61018                  44.0254839571            -0.10352                 -5.18598301731           
RY*                      O[4]                     1.55185                  -0.64742                 1.0933                   0.4443                   28.6303444276            -0.74395                 -40.492584025            
RY*                      O[4]                     4.43203                  -0.64742                 1.25949                  -2.43588                 -54.9608193085           -0.57776                 -31.4469995918           
RY*                      O[4]                     1.29695                  -0.64742                 1.69552                  0.5403                   41.6592775358            -0.14173                 -7.7142468363            
RY*                      O[4]                     1.28872                  -0.64742                 1.94169                  0.54853                  42.5639394128            0.10444                  5.68458293645            
RY*                      O[4]                     1.46775                  -0.64742                 1.38005                  0.3695                   25.1745869528            -0.4572                  -24.8850183698           
RY*                      O[4]                     1.70065                  -0.64742                 2.3726                   0.1366                   8.03222297357            0.53535                  29.1386583209            
RY*                      O[4]                     1.99666                  -0.64742                 1.75671                  -0.15941                 -7.98383300111           -0.08054                 -4.38372567696           
RY*                      O[4]                     1.6294                   -0.64742                 2.09759                  0.20785                  12.7562292869            0.26034                  14.1700911689            
RY*                      O[4]                     1.90404                  -0.64742                 1.81131                  -0.06679                 -3.50780445789           -0.02594                 -1.41189277453           
RY*                      O[4]                     2.17923                  -0.64742                 2.50869                  -0.34198                 -15.6926987973           0.67144                  36.5459246156            
RY*                      O[4]                     2.42003                  -0.64742                 1.48445                  -0.58278                 -24.0815196506           -0.3528                  -19.2026126004           
RY*                      C[8]                     2.15991                  -0.64742                 0.82187                  -0.32266                 -14.938585404            -1.01538                 -55.266294734            
